TRADEDATE,fac_TOPEN,fac_THIGH,fac_TLOW,fac_TCLOSE,TVOLUME
2000-10-19 00:00:00.000,867.4985,870.5603,852.1897,856.7824,1676800
2000-10-20 00:00:00.000,857.2927,876.6838,855.7618,870.0500,2271900
2000-10-23 00:00:00.000,889.9514,902.7088,882.2970,888.4206,10133500
2000-10-24 00:00:00.000,893.0132,898.1161,885.3588,895.0544,3785600
2000-10-25 00:00:00.000,895.5647,910.8735,893.0132,905.7705,6476000
2000-10-26 00:00:00.000,905.7705,907.8117,885.3588,886.8897,3260100
2000-10-27 00:00:00.000,886.8897,898.1161,881.2765,891.4823,3059000
2000-10-30 00:00:00.000,893.0132,900.6676,891.9926,895.0544,2763900
2000-10-31 00:00:00.000,895.5647,902.1985,893.5235,895.5647,3486200
2000-11-01 00:00:00.000,895.5647,908.3220,895.5647,903.2191,5260200
2000-11-02 00:00:00.000,908.3220,918.5279,905.7705,911.8941,9507800
2000-11-03 00:00:00.000,914.4455,917.5073,900.1573,903.2191,11812400
2000-11-06 00:00:00.000,919.5859,919.5859,899.7219,906.7328,5300200
2000-11-07 00:00:00.000,906.7244,911.3983,886.2764,889.7818,5564200
2000-11-08 00:00:00.000,889.7818,907.3086,889.7818,903.2190,2945900
2000-11-09 00:00:00.000,905.5560,907.8929,899.7137,904.9717,2996700
2000-11-10 00:00:00.000,905.5560,917.8248,899.7137,907.8929,4394900
2000-11-13 00:00:00.000,906.7244,923.0828,905.5560,915.4879,5237500
2000-11-14 00:00:00.000,918.9932,926.0040,911.3983,920.7459,3950500
2000-11-15 00:00:00.000,921.9144,945.8678,921.3302,933.5990,8468700
2000-11-16 00:00:00.000,934.7674,943.5309,928.9251,933.0148,4489900
2000-11-17 00:00:00.000,934.7674,936.5201,914.3194,917.8248,4931300
2000-11-20 00:00:00.000,917.8248,917.8248,906.1402,913.7352,4228800
2000-11-21 00:00:00.000,914.3194,925.4198,906.7244,913.7352,2653400
2000-11-22 00:00:00.000,913.7352,926.0040,913.7352,922.4986,2763300
2000-11-23 00:00:00.000,923.0828,934.7674,920.7459,927.7567,4000300
2000-11-24 00:00:00.000,931.8463,955.7997,917.2406,924.8355,11939000
2000-11-27 00:00:00.000,923.0828,923.0828,911.3983,913.1509,2951300
2000-11-28 00:00:00.000,913.1509,920.1617,911.3983,915.4879,2190000
2000-11-29 00:00:00.000,915.4879,916.0721,904.3875,906.7244,3230300
2000-11-30 00:00:00.000,906.1402,914.3194,903.2190,904.9717,2579000
2000-12-01 00:00:00.000,905.5560,911.3983,902.0506,904.9717,2419600
2000-12-04 00:00:00.000,905.5560,906.7244,899.7137,904.9717,2456000
2000-12-05 00:00:00.000,905.5560,913.7352,905.5560,906.1402,1940600
2000-12-06 00:00:00.000,906.7244,910.2298,896.7925,898.5452,2450000
2000-12-07 00:00:00.000,898.5452,899.7137,890.9502,893.8714,2370900
2000-12-08 00:00:00.000,885.1079,893.8714,882.1868,886.8606,5154800
2000-12-11 00:00:00.000,886.8606,888.0291,861.7387,864.0757,5291400
2000-12-12 00:00:00.000,864.0757,876.3445,855.8964,875.7602,3733000
2000-12-13 00:00:00.000,876.3445,882.7710,865.2441,866.9968,1957400
2000-12-14 00:00:00.000,875.7602,885.6921,866.9968,874.0076,2480500
2000-12-15 00:00:00.000,878.6814,897.3767,874.0076,891.5344,3923200
2000-12-18 00:00:00.000,891.5344,896.7925,870.5022,892.1187,4790200
2000-12-19 00:00:00.000,893.8714,893.8714,869.3337,873.4233,5509900
2000-12-20 00:00:00.000,875.1760,876.3445,864.6599,868.1653,3087900
2000-12-21 00:00:00.000,868.7495,875.7602,865.8283,865.8283,2831400
2000-12-22 00:00:00.000,865.8283,867.5810,852.9753,855.8964,5895100
2000-12-25 00:00:00.000,855.8964,855.8964,838.3695,840.7065,4711700
2000-12-26 00:00:00.000,841.2907,854.1437,835.4484,841.2907,4515700
2000-12-27 00:00:00.000,841.2907,847.1330,838.9538,840.1222,3603600
2000-12-28 00:00:00.000,841.2907,842.4592,836.6169,838.9538,3882700
2000-12-29 00:00:00.000,838.9538,854.1437,838.3695,848.3015,2363000
2001-01-02 00:00:00.000,849.4699,858.8176,841.2907,850.0541,3412200
2001-01-03 00:00:00.000,850.6384,853.5595,839.5380,843.6276,5429400
2001-01-04 00:00:00.000,844.2118,847.1330,835.4484,838.3695,4840400
2001-01-05 00:00:00.000,837.2011,837.2011,824.9323,829.6061,6641900
2001-01-08 00:00:00.000,829.6061,829.6061,816.7531,817.9215,6994400
2001-01-09 00:00:00.000,817.9215,851.8068,809.1581,850.0541,5233600
2001-01-10 00:00:00.000,850.6384,852.3911,836.0326,842.4592,3450300
2001-01-11 00:00:00.000,844.2118,888.0291,843.6276,864.0757,8121100
2001-01-12 00:00:00.000,864.0757,873.4233,856.4807,864.6599,3890200
2001-01-15 00:00:00.000,864.6599,864.6599,824.3480,829.0219,2998100
2001-01-16 00:00:00.000,829.0219,850.0541,824.9323,845.9645,2336700
2001-01-17 00:00:00.000,847.1330,876.3445,847.1330,857.6491,4697100
